
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=27834, length=804, survival=9.970%, return=128.65242737531662
global_step=27840, length=1117, survival=13.852%, return=9.946652293205261
SPS=47
global_step=27912, length=979, survival=12.140%, return=218.9515456557274
SPS=47
global_step=28284, length=1094, survival=13.566%, return=393.47764202952385
global_step=28287, length=3461, survival=42.919%, return=455.7304692566395
global_step=28434, length=735, survival=9.115%, return=98.76144856214523
global_step=28437, length=3596, survival=44.593%, return=1421.771907567978
global_step=28485, length=2446, survival=30.332%, return=668.5733720362186
SPS=47
global_step=28506, length=1550, survival=19.221%, return=275.46446219086647
global_step=28614, length=60, survival=0.744%, return=18.960134088993073
global_step=28668, length=530, survival=6.572%, return=42.060397893190384
global_step=28698, length=1055, survival=13.083%, return=113.17896062135696
global_step=28758, length=310, survival=3.844%, return=136.1648310124874
global_step=28764, length=996, survival=12.351%, return=406.8379620015621
SPS=47
global_step=29010, length=2636, survival=32.688%, return=40.9522440135479
global_step=29076, length=1292, survival=16.022%, return=614.7913347482681
SPS=47
global_step=29310, length=589, survival=7.304%, return=26.108487010002136
SPS=47
global_step=29445, length=2547, survival=31.585%, return=992.4473876953125
global_step=29667, length=2489, survival=30.866%, return=740.1239157319069
SPS=47
global_step=29856, length=1449, survival=17.969%, return=202.479732722044
SPS=47
